Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hart,4.35,13.05,21.75,8.65,0.00,16.97,20.95,0.00,8.29,24.74,8.31,11.90,15.71,15.64,15.67,7.87,7.84,7.83
Heard,27.24,0.00,8.96,8.94,18.02,0.00,0.00,0.00,26.26,25.95,26.02,16.90,17.06,8.58,8.65,8.60,0.00,26.12
Henry,3.35,5.87,6.90,5.72,6.69,6.96,4.79,11.30,7.03,11.55,15.87,13.24,15.94,10.08,11.88,14.06,12.90,16.68
Houston,0.90,2.71,5.30,6.01,9.17,4.04,2.38,4.68,5.33,8.24,6.63,12.87,7.63,7.52,9.46,9.38,10.00,9.86
Irwin,10.07,0.00,10.02,0.00,0.00,0.00,0.00,9.78,10.03,0.00,0.00,0.00,10.29,20.74,0.00,10.95,10.84,10.61
Jackson,2.40,4.81,9.17,11.00,23.43,28.39,5.77,17.93,13.39,17.68,22.03,21.49,16.52,18.20,18.08,16.21,28.55,17.02
Jasper,0.00,8.75,17.20,16.63,0.00,7.93,0.00,0.00,14.64,14.42,0.00,7.19,21.78,7.36,22.18,14.85,7.34,7.32
Jeff Davis,7.88,0.00,7.86,15.63,7.81,15.55,15.36,53.09,7.55,14.86,29.28,46.46,6.62,39.65,40.06,26.93,6.70,40.33
Jefferson,0.00,0.00,0.00,0.00,0.00,0.00,6.02,6.06,12.21,0.00,24.27,11.81,5.95,0.00,18.35,12.30,6.22,12.57
Jenkins,0.00,0.00,0.00,11.64,0.00,11.71,11.65,11.61,0.00,11.80,23.67,11.99,12.28,10.94,0.00,0.00,0.00,11.30
Johnson,0.00,0.00,11.80,0.00,0.00,33.24,11.24,0.00,0.00,0.00,0.00,10.02,10.07,0.00,0.00,20.65,10.42,0.00
Jones,0.00,8.46,8.28,32.42,3.94,15.32,15.01,14.86,11.00,10.84,14.42,3.49,17.31,6.95,17.40,20.83,10.51,10.48
Lamar,18.85,6.28,18.36,6.20,18.47,6.14,12.07,12.02,11.81,17.28,5.70,27.30,22.00,11.08,5.57,10.98,32.84,16.24
Lanier,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.85,0.00,9.54,9.60,9.67,0.00,19.23
Laurens,11.14,8.91,4.43,13.16,21.64,8.65,19.30,6.36,12.64,16.67,14.49,6.19,18.74,10.42,8.34,8.37,10.47,12.63
Lee,0.00,8.08,0.00,7.21,6.94,10.02,6.48,3.11,9.08,5.92,8.72,7.07,0.00,13.91,13.75,6.85,10.25,6.82
Liberty,1.62,1.62,3.31,3.25,1.65,9.66,6.35,9.94,6.61,8.49,9.65,7.88,3.07,9.17,9.37,7.67,8.00,6.39
Lincoln,0.00,0.00,0.00,11.97,12.02,0.00,0.00,12.38,24.90,12.50,12.64,12.51,25.39,12.90,0.00,0.00,13.01,25.55
Long,0.00,0.00,0.00,0.00,0.00,0.00,9.17,0.00,0.00,26.29,16.35,6.91,6.56,0.00,18.03,11.65,11.24,10.85
Lowndes,1.09,1.09,3.24,5.30,5.26,8.25,3.05,2.99,2.95,3.82,5.62,5.49,7.17,6.13,4.42,5.27,5.28,9.60
Lumpkin,0.00,4.76,9.13,8.83,0.00,0.00,12.09,0.00,15.03,11.03,25.43,13.35,13.12,6.51,32.38,9.63,9.59,25.44
Macon,0.00,7.11,0.00,7.15,0.00,0.00,0.00,7.42,7.49,7.52,15.00,20.35,0.00,0.00,7.15,0.00,7.32,7.43
Madison,0.00,7.77,26.81,22.57,14.85,11.14,11.03,21.86,3.60,17.85,21.25,14.22,21.34,17.83,24.85,42.30,10.56,13.88
Marion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.38,0.00,0.00,11.44,0.00,0.00,11.58,11.50,0.00,11.73
McDuffie,4.71,4.71,0.00,0.00,4.72,4.70,4.68,9.28,9.29,9.18,9.15,13.71,0.00,13.85,9.28,4.64,0.00,4.65
McIntosh,0.00,0.00,0.00,0.00,0.00,0.00,18.34,17.98,8.73,8.71,26.37,6.98,7.03,14.45,0.00,14.28,14.35,28.72
Meriwether,4.44,0.00,0.00,13.12,4.40,8.77,4.38,8.70,26.33,13.08,4.39,13.64,4.63,23.45,14.16,23.59,23.59,0.00
Miller,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.31,0.00,16.09,16.06,16.33,0.00,16.75,0.00,16.88,0.00,0.00
Mitchell,0.00,4.18,0.00,8.42,0.00,8.48,4.26,0.00,12.46,4.17,4.20,8.51,4.26,0.00,13.02,13.17,17.78,0.00
Monroe,0.00,4.60,13.62,8.85,21.53,4.30,4.24,16.44,7.98,3.97,7.87,3.78,11.24,14.96,11.11,22.16,14.76,14.65
Montgomery,0.00,12.09,0.00,11.76,0.00,0.00,22.55,0.00,11.13,0.00,0.00,0.00,32.96,11.16,0.00,11.11,11.12,0.00
Morgan,0.00,0.00,0.00,0.00,0.00,5.92,5.79,11.25,5.50,5.38,5.33,5.60,16.76,5.61,5.64,22.24,5.55,5.50
Murray,0.00,5.48,13.23,13.03,10.19,10.05,12.46,17.21,24.55,29.60,17.23,22.71,45.65,25.39,28.02,27.95,22.80,15.26
Muscogee,3.76,4.83,4.29,6.99,10.94,3.75,2.12,4.18,6.97,7.50,9.98,13.17,10.24,11.03,7.86,13.42,7.01,8.61
Newton,1.61,1.61,10.46,4.21,7.93,7.44,9.34,12.13,13.58,3.05,14.01,7.00,14.92,8.90,11.73,9.63,10.44,13.08
Oconee,0.00,0.00,0.00,0.00,7.15,10.50,3.41,19.70,0.00,6.15,6.00,9.14,24.04,11.93,11.75,17.11,8.36,0.00
Oglethorpe,0.00,0.00,0.00,0.00,7.56,7.47,0.00,0.00,42.97,7.02,6.98,13.42,27.04,34.20,0.00,13.59,26.80,0.00
