,County,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
105,Wilkes,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,10,1
106,Wilkinson,1,0,2,3,1,1,1,2,2,1,0,0,0,0,0,1,2,0,17,1
107,Worth,0,0,0,1,1,0,4,2,2,0,3,0,0,0,1,2,4,6,26,1
108,Baldwin,0,1,1,3,1,5,4,3,1,5,8,1,2,1,5,5,2,0,48,0
109,Barrow,2,5,5,2,8,5,5,9,9,12,9,13,8,10,8,14,9,13,146,0
110,Bartow,2,10,12,13,4,14,7,9,8,16,10,23,17,17,13,19,19,21,234,0
111,Bibb,12,9,16,20,14,15,25,8,17,16,16,12,18,10,15,14,15,14,266,0
112,Bulloch,1,0,4,2,6,0,3,5,3,4,3,9,3,6,8,2,4,5,68,0
113,Camden,0,0,0,5,4,0,6,1,4,1,8,3,10,6,4,4,9,7,72,0
114,Carroll,4,3,11,12,11,18,14,18,24,30,29,22,26,16,15,20,20,28,321,0
115,Catoosa,2,1,4,2,9,13,2,2,1,17,9,12,10,17,9,15,11,26,162,0
116,Chatham,12,9,20,15,10,25,13,18,25,20,23,27,21,28,31,24,29,35,385,0
117,Cherokee,8,10,4,12,14,13,15,17,23,18,24,25,24,24,33,42,54,49,409,0
118,Clarke,4,3,4,3,8,9,7,6,6,8,9,4,16,12,11,14,12,17,153,0
119,Clayton,11,14,21,25,20,25,21,20,18,18,24,25,21,29,24,23,29,26,394,0
120,Cobb,29,33,38,32,42,46,39,57,44,61,76,61,73,87,101,122,104,124,"1,169",0
121,Coffee,1,2,3,3,2,2,3,1,5,4,5,7,10,4,4,7,6,7,76,0
122,Colquitt,0,2,5,2,3,0,4,2,1,6,4,4,7,3,8,4,3,1,59,0
123,Columbia,2,3,8,1,3,3,11,10,6,7,10,14,10,14,11,19,19,22,173,0
124,Coweta,5,8,1,6,4,11,15,9,12,11,20,8,14,16,12,15,13,17,197,0
125,DeKalb,26,28,44,55,46,37,35,39,43,45,46,45,56,50,43,66,76,76,856,0
126,Dougherty,3,5,6,5,4,2,9,5,8,10,8,1,6,14,5,2,5,9,107,0
127,Douglas,2,7,7,9,10,11,5,14,10,11,9,14,13,12,8,28,17,33,220,0
128,Effingham,0,0,4,2,1,4,4,4,2,3,4,5,7,4,7,3,2,6,62,0
129,Fayette,2,3,3,5,6,9,7,5,8,7,12,10,11,4,8,14,17,8,139,0
130,Floyd,7,13,10,11,5,7,19,16,17,16,7,22,17,16,16,11,12,16,238,0
131,Forsyth,5,5,6,6,5,9,5,10,18,18,14,19,29,16,27,33,37,23,285,0
132,Fulton,62,69,99,67,84,80,92,83,105,117,83,107,94,95,118,137,145,172,"1,809",0
133,Glynn,5,4,4,4,8,7,6,13,12,14,11,4,10,10,20,8,11,14,165,0
134,Gordon,6,4,2,6,9,7,1,5,2,8,11,7,11,9,6,7,3,11,115,0
135,Gwinnett,12,26,31,27,33,30,30,42,40,48,51,66,49,54,70,67,100,85,861,0
136,Habersham,2,4,1,2,2,2,5,3,7,5,7,10,0,7,4,2,2,8,73,0
137,Hall,4,8,6,14,10,21,11,20,19,17,21,26,27,23,27,26,24,30,334,0
138,Henry,4,7,9,8,10,11,8,20,13,22,31,27,33,21,25,30,28,37,344,0
139,Houston,1,3,6,7,11,5,3,6,7,11,9,18,11,11,14,14,15,15,167,0
140,Jackson,1,2,4,5,11,14,3,10,8,11,14,13,10,11,11,10,18,11,167,0
141,Laurens,5,4,2,6,10,4,9,3,6,8,7,3,9,5,4,4,5,6,100,0
142,Liberty,1,1,2,2,1,6,4,6,4,5,6,5,2,6,6,5,5,4,71,0
143,Lowndes,1,1,3,5,5,8,3,3,3,4,6,6,8,7,5,6,6,11,91,0
144,Murray,0,2,5,5,4,4,5,7,10,12,7,9,18,10,11,11,9,6,135,0
145,Muscogee,7,9,8,13,20,7,4,8,13,14,19,25,20,22,16,27,14,17,263,0
146,Newton,1,1,7,3,6,6,8,11,13,3,14,7,15,9,12,10,11,14,151,0
147,Paulding,5,5,4,6,7,13,12,19,20,19,25,36,23,26,17,37,26,30,330,0
148,Polk,2,4,2,5,5,9,4,7,5,7,6,11,9,8,6,6,7,8,111,0
149,Richmond,8,7,7,18,17,15,11,25,19,23,25,34,23,31,22,26,46,49,406,0
150,Rockdale,2,7,3,6,13,4,6,12,10,8,8,9,12,13,12,12,12,19,168,0
151,Spalding,1,2,8,2,4,11,3,7,8,9,11,6,8,17,8,9,13,11,138,0
152,Thomas,1,1,4,0,1,3,0,1,1,3,4,1,1,1,2,4,2,3,33,0
153,Tift,1,1,0,0,0,2,1,2,0,0,0,2,2,1,2,1,6,6,27,0
154,Troup,0,3,2,4,5,6,4,7,6,2,7,7,14,9,8,12,13,10,119,0
155,Walker,3,2,2,4,7,6,13,4,9,8,10,10,12,10,8,10,8,11,137,0
156,Walton,2,0,6,7,8,4,6,6,8,10,5,11,6,15,17,15,19,16,161,0
157,Ware,1,0,1,3,3,3,3,2,0,10,10,1,9,2,3,16,4,5,76,0
158,Whitfield,3,3,6,7,4,9,4,3,4,18,11,13,13,14,14,9,12,8,155,0
