,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
117,Cherokee,0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,1 ,0,1 ,5 ,2 ,11 ,0
118,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,2 ,0
119,Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
120,Cobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,13 ,7 ,28 ,0
121,Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Colquitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,2 ,0
124,Coweta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,2 ,0
125,DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,3 ,3 ,0,7 ,0
126,Dougherty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Douglas,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,3 ,0,0,4 ,0
128,Effingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Fayette,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0
130,Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
131,Forsyth,0,0,0,0,0,0,0,0,0,0,1 ,0,2 ,1 ,1 ,0,6 ,0,11 ,0
132,Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,7 ,17 ,7 ,33 ,0
133,Glynn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,2 ,0
134,Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Gwinnett,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,3 ,7 ,4 ,17 ,0
136,Habersham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Hall,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,0,3 ,0
138,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,1 ,5 ,0
139,Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Laurens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Lowndes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
145,Muscogee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
146,Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Paulding,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,0,0,2 ,2 ,0,6 ,0
148,Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Rockdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0
151,Spalding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
152,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0
153,Tift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Troup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,1 ,3 ,0
157,Ware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Whitfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
