,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
82,Stephens,0,0,2 ,0,1 ,1 ,1 ,1 ,0,3 ,5 ,3 ,4 ,7 ,2 ,5 ,4 ,2 ,41 ,1
83,Stewart,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,1
84,Sumter,0,0,0,0,0,1 ,1 ,0,0,0,0,1 ,0,2 ,0,2 ,1 ,0,8 ,1
85,Talbot,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,1
86,Taliaferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Tattnall,1 ,0,0,1 ,1 ,1 ,1 ,0,1 ,1 ,1 ,3 ,3 ,0,1 ,2 ,4 ,1 ,22 ,1
88,Taylor,0,1 ,0,0,0,0,0,0,0,0,0,0,1 ,0,2 ,2 ,0,1 ,7 ,1
89,Telfair,0,0,0,0,0,0,0,1 ,0,1 ,1 ,2 ,1 ,0,2 ,1 ,0,1 ,10 ,1
90,Terrell,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,1
91,Toombs,0,0,0,0,0,0,0,2 ,0,1 ,2 ,4 ,2 ,1 ,0,4 ,3 ,1 ,20 ,1
92,Towns,0,1 ,0,0,0,0,1 ,0,2 ,1 ,4 ,1 ,3 ,1 ,2 ,1 ,1 ,2 ,20 ,1
93,Treutlen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,Turner,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,1 ,3 ,1
95,Twiggs,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,1 ,0,0,2 ,5 ,1
96,Union,0,0,1 ,1 ,0,1 ,0,2 ,1 ,2 ,0,1 ,2 ,1 ,3 ,1 ,3 ,3 ,22 ,1
97,Upson,0,0,1 ,0,1 ,1 ,0,0,1 ,2 ,2 ,3 ,2 ,3 ,3 ,6 ,2 ,2 ,29 ,1
98,Warren,0,1 ,0,0,0,1 ,0,0,1 ,0,0,0,0,1 ,0,0,0,0,4 ,1
99,Washington,1 ,0,0,0,2 ,0,1 ,0,0,0,0,1 ,0,0,1 ,2 ,2 ,2 ,12 ,1
100,Wayne,0,0,0,3 ,6 ,1 ,4 ,3 ,2 ,5 ,3 ,4 ,6 ,3 ,7 ,4 ,7 ,5 ,63 ,1
101,Webster,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,1
102,Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,1
103,White,0,0,0,0,2 ,4 ,2 ,0,2 ,0,1 ,5 ,5 ,4 ,5 ,5 ,4 ,5 ,44 ,1
104,Wilcox,0,0,0,0,0,0,1 ,0,0,1 ,1 ,1 ,0,0,0,0,1 ,1 ,6 ,1
105,Wilkes,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,1 ,0,1 ,0,0,4 ,1
106,Wilkinson,0,0,1 ,2 ,0,0,0,1 ,0,0,0,0,0,0,0,0,1 ,0,5 ,1
107,Worth,0,0,0,1 ,1 ,0,0,1 ,0,0,0,0,0,0,1 ,2 ,1 ,2 ,9 ,1
108,Baldwin,0,0,0,1 ,0,1 ,1 ,1 ,0,2 ,2 ,1 ,1 ,0,1 ,2 ,0,0,13 ,0
109,Barrow,1 ,1 ,3 ,2 ,3 ,0,3 ,6 ,7 ,11 ,7 ,8 ,6 ,3 ,4 ,6 ,3 ,10 ,84 ,0
110,Bartow,1 ,1 ,3 ,2 ,1 ,4 ,3 ,3 ,1 ,9 ,8 ,14 ,11 ,12 ,6 ,11 ,12 ,16 ,118 ,0
111,Bibb,3 ,3 ,5 ,7 ,4 ,5 ,5 ,1 ,5 ,3 ,3 ,5 ,10 ,6 ,6 ,11 ,7 ,9 ,98 ,0
112,Bulloch,0,0,0,0,3 ,0,3 ,1 ,2 ,3 ,2 ,5 ,2 ,4 ,3 ,2 ,2 ,3 ,35 ,0
113,Camden,0,0,0,3 ,0,0,3 ,1 ,0,1 ,5 ,3 ,7 ,5 ,4 ,1 ,5 ,4 ,42 ,0
114,Carroll,0,1 ,3 ,6 ,6 ,11 ,8 ,7 ,15 ,22 ,20 ,16 ,17 ,14 ,10 ,16 ,15 ,22 ,209 ,0
115,Catoosa,0,1 ,0,1 ,6 ,4 ,0,1 ,0,6 ,8 ,7 ,6 ,14 ,5 ,9 ,5 ,12 ,85 ,0
116,Chatham,5 ,4 ,14 ,7 ,0,6 ,2 ,5 ,10 ,7 ,13 ,14 ,13 ,16 ,21 ,15 ,22 ,22 ,196 ,0
117,Cherokee,2 ,2 ,3 ,5 ,5 ,3 ,10 ,9 ,14 ,10 ,18 ,17 ,16 ,17 ,20 ,25 ,45 ,34 ,255 ,0
118,Clarke,0,1 ,0,0,3 ,3 ,3 ,5 ,3 ,6 ,4 ,3 ,12 ,8 ,6 ,10 ,8 ,14 ,89 ,0
119,Clayton,4 ,6 ,8 ,14 ,9 ,7 ,10 ,6 ,12 ,11 ,18 ,20 ,17 ,23 ,15 ,17 ,25 ,21 ,243 ,0
120,Cobb,18 ,23 ,19 ,22 ,10 ,15 ,11 ,6 ,6 ,18 ,20 ,13 ,12 ,21 ,12 ,54 ,88 ,108 ,476 ,0
121,Coffee,1 ,0,2 ,0,0,0,2 ,0,4 ,1 ,3 ,5 ,7 ,3 ,2 ,5 ,2 ,6 ,43 ,0
122,Colquitt,0,1 ,1 ,1 ,0,0,1 ,0,0,1 ,2 ,2 ,5 ,0,3 ,2 ,2 ,0,21 ,0
123,Columbia,1 ,1 ,3 ,0,1 ,1 ,1 ,2 ,0,2 ,4 ,9 ,5 ,2 ,8 ,11 ,14 ,17 ,82 ,0
124,Coweta,1 ,0,0,1 ,2 ,11 ,9 ,3 ,4 ,8 ,11 ,6 ,11 ,12 ,6 ,11 ,8 ,15 ,119 ,0
125,DeKalb,10 ,8 ,19 ,20 ,18 ,10 ,12 ,16 ,25 ,25 ,25 ,24 ,35 ,43 ,22 ,38 ,58 ,54 ,462 ,0
126,Dougherty,3 ,1 ,2 ,1 ,1 ,0,2 ,1 ,3 ,7 ,7 ,0,3 ,7 ,4 ,1 ,2 ,5 ,50 ,0
127,Douglas,0,4 ,4 ,5 ,2 ,3 ,3 ,2 ,4 ,5 ,4 ,9 ,7 ,9 ,5 ,19 ,15 ,27 ,127 ,0
