County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hart,42.9,42.7,79.3,69.7,48.5,84.4,111.4,55.8,75.3,63.2,82.3,51.1,51.2,97.9,183.9
Heard,44.8,44.8,44.8,44.1,44.1,51.6,51.6,59.5,0,0,43,43,43,112.7,374.3
Henry,20.6,25.2,23.1,27.7,27.2,36,30.8,28.1,29.7,34.2,26.3,42.2,32.3,67.1,238.5
Houston,17.2,34.3,20.2,25.4,23.3,26.4,32.6,34.9,29.8,47.9,26.7,23,50.3,148.6,438.5
Irwin,0,0,0,0,0,0,0,0,0,51.7,51.7,51.7,51.7,86.5,382.1
Jackson,13.4,26,43.5,41.5,35.2,31.3,40.4,53.3,56,44.1,47.9,63.9,72.7,134.2,402.4
Jasper,56.4,56.4,56.4,56.4,37.4,51.6,51.6,36.1,50.3,64.8,64.8,58.8,59.6,132,351.5
Jeff Davis,61.1,61.1,61.1,61.1,35.6,35.2,35.2,33.6,46.4,39.6,52.8,66.6,60.6,174.3,564.6
Jefferson,52.7,52.7,47.1,53.2,41.4,35.7,41.4,52.7,53.3,48,48,48,43,37.3,194.8
Jenkins,58.5,58.5,70.7,94,94,94,95.9,131.9,131.9,131.9,97.7,64.7,54.8,111.6,305.1
Johnson,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.5,50.5,50.5,93.2,178.9
Jones,44.2,44.2,37.7,36.8,25.4,28.6,35,24.4,34.9,28.1,42,31.5,31.5,136.9,269
Lamar,43,30.4,36.2,29.5,40.9,40.9,61,54.8,38.2,55,38.8,33.4,49.4,164.8,373.6
Lanier,0,0,0,0,0,0,0,0,0,0,0,96.1,96.1,67.9,327
Laurens,30.7,30.3,21.6,42.8,19,31.5,29.1,24.7,14.5,39.6,43.7,37.5,43.9,117.3,414.6
Lee,23.9,31.7,23.1,26.4,32.9,43.2,42.7,53,21.1,28,28,55,68.5,30.8,102.3
Liberty,11.2,29.8,15.8,12.4,30.1,25.1,25.5,16.4,22.3,15.3,29,28.1,27.6,60.8,174.2
Lincoln,0,0,0,0,0,0,61.3,61.3,0,0,64.6,64.6,91.8,195.5,140.5
Long,77.1,77.1,77.1,77.1,57.6,48.5,48.5,48.5,48.5,39.6,43.6,43.6,43.6,67.7,151.9
Lowndes,18.1,11.7,21.8,14.2,21.9,19.7,12.4,28.8,27.3,35.8,34,39.9,37.9,104.5,267
Lumpkin,34.7,29,29,27,54.9,28.3,30.9,67.3,26.7,49.9,68.6,55,70.6,108.3,356.2
McDuffie,42.6,42.6,42.3,32.7,23.2,60.4,50.5,50.5,50.5,36.9,41.5,27.8,23.4,92.9,358.3
McIntosh,58.9,58.9,58.9,58.9,69.5,36.7,50.1,56.1,56.1,70.6,86.7,92.8,92.8,157.5,402.1
Macon,35,35,35,84.3,84.3,84.3,34.5,34.5,34.1,48.6,63.1,0,0,51.3,193.3
Madison,29.8,29.8,26.1,66.4,47.5,50.6,75.5,53.6,74.6,111,86,96.2,67.1,189.9,374.7
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5
Meriwether,35.5,35.5,35.5,35.4,30.8,35.5,35.5,22.3,41.2,23.1,28.2,23.5,61.3,146.3,284.7
Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
Mitchell,25.3,25.3,25.3,21.4,29.7,37.5,37.5,29.7,21.3,34.1,21.6,26,57.1,53.2,249.3
Monroe,30.7,30.7,42.3,108,64.2,77.7,65.5,68.6,102,67.6,56.3,44.5,44.4,147.6,406.5
Montgomery,58.6,58.6,77.4,77.4,54.6,54.6,65.9,65.9,65.9,55.2,55.2,55.2,55.2,178.8,298
Morgan,30.8,30.8,42.2,29.5,57.8,102,66.8,39.1,44.8,55.7,55.9,67.5,61.3,121.9,357.7
Murray,28.2,28.2,43.1,73,47.3,42.4,32.6,52.6,43,37.9,25.4,45.8,15.2,123.8,368.8
Muscogee,29.2,31.5,34,27.9,36.9,35.2,30.3,29.1,29.9,26.3,29.7,40.4,37.8,83.8,359
